customer_id,first_name,last_name,full_name,email,signup_date,country,city,gender,age_group,segment
47,Jamie,Miller,Jamie Miller,customer_47@example.com,2023-09-05,Colombia,Cali,Other,55+,VIP
48,Taylor,Garcia,Taylor Garcia,customer_48@example.com,2022-01-16,USA,New York,Male,55+,Churn Risk
49,Pat,Brown,Pat Brown,customer_49@example.com,2022-06-11,Spain,Madrid,Female,25-34,Churn Risk
51,Jamie,Garcia,Jamie Garcia,customer_51@example.com,2023-06-21,USA,Los Angeles,Other,18-24,VIP
53,Chris,Johnson,Chris Johnson,customer_53@example.com,2023-01-17,Colombia,Barranquilla,Female,55+,Churn Risk
54,Alex,Martinez,Alex Martinez,customer_54@example.com,2023-05-01,Spain,Madrid,Female,35-44,VIP
55,Sam,Johnson,Sam Johnson,customer_55@example.com,2022-12-30,Brazil,São Paulo,Male,55+,VIP
56,Sam,Martinez,Sam Martinez,customer_56@example.com,2023-04-21,Mexico,Guadalajara,Female,25-34,VIP
58,Pat,Smith,Pat Smith,customer_58@example.com,2023-11-06,Spain,Barcelona,Female,18-24,Churn Risk
59,Sam,Smith,Sam Smith,customer_59@example.com,2022-10-06,Mexico,Guadalajara,Female,18-24,New
61,Pat,Davis,Pat Davis,customer_61@example.com,2022-10-16,Brazil,Brasilia,Male,25-34,Active
62,Morgan,Lopez,Morgan Lopez,customer_62@example.com,2022-07-20,USA,Los Angeles,Male,35-44,VIP
63,Morgan,Lopez,Morgan Lopez,customer_63@example.com,2022-05-23,Mexico,CDMX,Other,55+,Churn Risk
65,Jordan,Lopez,Jordan Lopez,customer_65@example.com,2023-10-16,Colombia,Bogotá,Male,18-24,Churn Risk
67,Morgan,Johnson,Morgan Johnson,customer_67@example.com,2022-04-25,Brazil,São Paulo,Male,35-44,Churn Risk
69,Chris,Miller,Chris Miller,customer_69@example.com,2023-07-12,USA,Los Angeles,Female,45-54,New
70,Pat,Davis,Pat Davis,customer_70@example.com,2023-05-22,USA,Los Angeles,Male,18-24,VIP
72,Morgan,Lopez,Morgan Lopez,customer_72@example.com,2022-03-24,Mexico,Guadalajara,Female,35-44,Churn Risk
73,Alex,Martinez,Alex Martinez,customer_73@example.com,2022-06-22,Mexico,Monterrey,Other,18-24,Churn Risk
74,Alex,Martinez,Alex Martinez,customer_74@example.com,2023-02-02,Brazil,Brasilia,Female,55+,New
75,Pat,Smith,Pat Smith,customer_75@example.com,2022-11-16,Brazil,São Paulo,Male,45-54,New
76,Sam,Smith,Sam Smith,customer_76@example.com,2022-11-30,USA,New York,Female,18-24,VIP
78,Alex,Brown,Alex Brown,customer_78@example.com,2023-09-14,USA,Miami,Female,18-24,VIP
80,Alex,Miller,Alex Miller,customer_80@example.com,2023-11-01,Spain,Barcelona,Other,35-44,VIP
81,Morgan,Brown,Morgan Brown,customer_81@example.com,2022-11-21,Mexico,CDMX,Male,35-44,VIP
82,Jordan,Smith,Jordan Smith,customer_82@example.com,2023-03-21,Colombia,Bogotá,Male,45-54,Churn Risk
83,Jamie,Miller,Jamie Miller,customer_83@example.com,2022-03-06,Colombia,Medellín,Male,45-54,Active
84,Morgan,Davis,Morgan Davis,customer_84@example.com,2023-10-21,Brazil,Rio de Janeiro,Female,45-54,New
85,Pat,Martinez,Pat Martinez,customer_85@example.com,2023-05-20,Spain,Valencia,Male,35-44,VIP
86,Taylor,Brown,Taylor Brown,customer_86@example.com,2023-08-02,Brazil,Rio de Janeiro,Female,45-54,Active
87,Morgan,Smith,Morgan Smith,customer_87@example.com,2023-08-07,Mexico,Monterrey,Other,18-24,Active
88,Taylor,Lopez,Taylor Lopez,customer_88@example.com,2023-12-31,Colombia,Bogotá,Other,35-44,VIP
89,Alex,Brown,Alex Brown,customer_89@example.com,2023-09-13,Mexico,CDMX,Male,35-44,VIP
90,Taylor,Miller,Taylor Miller,customer_90@example.com,2023-11-20,USA,New York,Male,55+,Active
91,Alex,Lopez,Alex Lopez,customer_91@example.com,2022-05-16,Colombia,Medellín,Other,45-54,VIP
92,Morgan,Brown,Morgan Brown,customer_92@example.com,2023-12-05,Colombia,Medellín,Female,25-34,Churn Risk
93,Jamie,Brown,Jamie Brown,customer_93@example.com,2023-07-07,Colombia,Bogotá,Male,55+,Churn Risk
94,Morgan,Smith,Morgan Smith,customer_94@example.com,2023-07-05,USA,Los Angeles,Male,35-44,Active
95,Jordan,Davis,Jordan Davis,customer_95@example.com,2023-07-12,USA,Los Angeles,Male,18-24,VIP
96,Taylor,Miller,Taylor Miller,customer_96@example.com,2023-04-01,Brazil,Brasilia,Male,55+,New
97,Jamie,Smith,Jamie Smith,customer_97@example.com,2022-10-28,Brazil,São Paulo,Female,45-54,Active
98,Sam,Lopez,Sam Lopez,customer_98@example.com,2022-12-09,Spain,Madrid,Female,55+,Churn Risk
99,Taylor,Johnson,Taylor Johnson,customer_99@example.com,2023-10-20,Colombia,Cali,Female,45-54,Active
100,Taylor,Johnson,Taylor Johnson,customer_100@example.com,2023-04-30,Colombia,Cali,Other,45-54,VIP
102,Alex,Martinez,Alex Martinez,customer_102@example.com,2023-01-13,Brazil,São Paulo,Other,18-24,Churn Risk
103,Jordan,Smith,Jordan Smith,customer_103@example.com,2022-07-21,Mexico,Monterrey,Female,35-44,Churn Risk
104,Pat,Johnson,Pat Johnson,customer_104@example.com,2023-07-17,Spain,Barcelona,Female,18-24,New
105,Taylor,Lopez,Taylor Lopez,customer_105@example.com,2023-10-29,Brazil,Brasilia,Male,25-34,New
106,Jamie,Johnson,Jamie Johnson,customer_106@example.com,2022-03-22,USA,Miami,Male,45-54,Churn Risk
107,Morgan,Brown,Morgan Brown,customer_107@example.com,2022-12-23,USA,New York,Male,18-24,Churn Risk
108,Jamie,Smith,Jamie Smith,customer_108@example.com,2022-10-21,Colombia,Cali,Male,35-44,Active
109,Jordan,Davis,Jordan Davis,customer_109@example.com,2022-03-14,Brazil,Brasilia,Male,25-34,Active
111,Jamie,Garcia,Jamie Garcia,customer_111@example.com,2022-07-14,Brazil,Rio de Janeiro,Other,18-24,Churn Risk
112,Sam,Smith,Sam Smith,customer_112@example.com,2022-04-28,USA,Miami,Male,25-34,VIP
113,Morgan,Martinez,Morgan Martinez,customer_113@example.com,2023-02-25,Brazil,São Paulo,Male,18-24,Churn Risk
114,Jordan,Johnson,Jordan Johnson,customer_114@example.com,2023-03-20,Brazil,Brasilia,Female,45-54,Churn Risk
115,Morgan,Garcia,Morgan Garcia,customer_115@example.com,2022-05-06,USA,Los Angeles,Other,18-24,New
116,Jamie,Martinez,Jamie Martinez,customer_116@example.com,2023-03-16,Spain,Barcelona,Female,18-24,Churn Risk
117,Jordan,Johnson,Jordan Johnson,customer_117@example.com,2023-01-11,Brazil,São Paulo,Other,35-44,Churn Risk
118,Sam,Lopez,Sam Lopez,customer_118@example.com,2022-12-29,Spain,Barcelona,Other,25-34,Churn Risk
119,Sam,Brown,Sam Brown,customer_119@example.com,2022-09-02,Mexico,Guadalajara,Female,25-34,New
120,Jordan,Johnson,Jordan Johnson,customer_120@example.com,2022-05-04,Mexico,CDMX,Male,35-44,Churn Risk
121,Taylor,Smith,Taylor Smith,customer_121@example.com,2023-01-04,Brazil,Rio de Janeiro,Male,55+,Churn Risk
122,Jordan,Miller,Jordan Miller,customer_122@example.com,2022-10-05,Brazil,São Paulo,Male,55+,New
123,Chris,Brown,Chris Brown,customer_123@example.com,2023-01-14,Colombia,Bogotá,Other,35-44,Churn Risk
124,Jamie,Brown,Jamie Brown,customer_124@example.com,2023-07-17,Mexico,Guadalajara,Female,18-24,New
125,Taylor,Garcia,Taylor Garcia,customer_125@example.com,2022-12-25,Brazil,São Paulo,Other,18-24,VIP
126,Jordan,Davis,Jordan Davis,customer_126@example.com,2022-05-19,Spain,Valencia,Other,55+,New
127,Jamie,Lopez,Jamie Lopez,customer_127@example.com,2023-10-26,USA,Miami,Female,35-44,New
128,Alex,Brown,Alex Brown,customer_128@example.com,2022-06-13,Spain,Madrid,Female,35-44,Churn Risk
129,Chris,Garcia,Chris Garcia,customer_129@example.com,2023-11-16,USA,New York,Other,45-54,Active
130,Sam,Davis,Sam Davis,customer_130@example.com,2023-04-21,Spain,Barcelona,Male,18-24,VIP
131,Pat,Johnson,Pat Johnson,customer_131@example.com,2023-06-08,Brazil,São Paulo,Female,18-24,Churn Risk
132,Jamie,Martinez,Jamie Martinez,customer_132@example.com,2023-08-05,USA,Miami,Other,25-34,VIP
133,Pat,Miller,Pat Miller,customer_133@example.com,2023-02-11,USA,New York,Other,35-44,Churn Risk
134,Chris,Smith,Chris Smith,customer_134@example.com,2023-11-22,Colombia,Cali,Male,35-44,Active
135,Morgan,Davis,Morgan Davis,customer_135@example.com,2022-12-31,Brazil,Brasilia,Other,18-24,VIP
137,Alex,Smith,Alex Smith,customer_137@example.com,2022-05-27,Brazil,São Paulo,Other,35-44,Churn Risk
138,Morgan,Lopez,Morgan Lopez,customer_138@example.com,2023-12-02,Spain,Madrid,Other,25-34,VIP
139,Sam,Garcia,Sam Garcia,customer_139@example.com,2023-07-20,Spain,Barcelona,Female,25-34,VIP
140,Alex,Miller,Alex Miller,customer_140@example.com,2023-07-01,Spain,Barcelona,Female,18-24,Active
141,Chris,Miller,Chris Miller,customer_141@example.com,2022-04-23,USA,Los Angeles,Other,35-44,New
142,Jordan,Smith,Jordan Smith,customer_142@example.com,2023-07-03,Brazil,São Paulo,Male,55+,VIP
143,Alex,Martinez,Alex Martinez,customer_143@example.com,2023-07-01,Colombia,Cali,Female,18-24,Active
144,Morgan,Lopez,Morgan Lopez,customer_144@example.com,2022-03-16,Brazil,Rio de Janeiro,Other,35-44,Active
145,Jordan,Miller,Jordan Miller,customer_145@example.com,2022-10-17,Brazil,São Paulo,Male,55+,Churn Risk
146,Jamie,Johnson,Jamie Johnson,customer_146@example.com,2023-10-19,USA,Miami,Other,25-34,Active
147,Taylor,Johnson,Taylor Johnson,customer_147@example.com,2023-03-26,Brazil,Rio de Janeiro,Female,55+,VIP
148,Morgan,Garcia,Morgan Garcia,customer_148@example.com,2022-08-03,Brazil,Rio de Janeiro,Female,35-44,Active
149,Jordan,Davis,Jordan Davis,customer_149@example.com,2022-11-17,Spain,Valencia,Male,18-24,Active
150,Jordan,Garcia,Jordan Garcia,customer_150@example.com,2022-02-22,Spain,Madrid,Other,18-24,New
151,Morgan,Miller,Morgan Miller,customer_151@example.com,2023-03-22,Colombia,Cali,Female,25-34,VIP
152,Pat,Johnson,Pat Johnson,customer_152@example.com,2023-02-16,Brazil,Rio de Janeiro,Female,45-54,New
153,Sam,Davis,Sam Davis,customer_153@example.com,2023-04-11,Brazil,São Paulo,Other,25-34,Active
154,Sam,Smith,Sam Smith,customer_154@example.com,2023-12-17,Mexico,Monterrey,Male,18-24,Churn Risk
155,Jordan,Johnson,Jordan Johnson,customer_155@example.com,2022-04-06,Colombia,Medellín,Female,18-24,Churn Risk
156,Pat,Brown,Pat Brown,customer_156@example.com,2022-06-06,Mexico,CDMX,Other,18-24,New
157,Alex,Garcia,Alex Garcia,customer_157@example.com,2023-11-05,USA,Los Angeles,Female,35-44,New
158,Pat,Miller,Pat Miller,customer_158@example.com,2023-07-22,USA,New York,Other,55+,New
159,Chris,Brown,Chris Brown,customer_159@example.com,2023-12-30,Mexico,Monterrey,Other,25-34,Churn Risk
160,Sam,Brown,Sam Brown,customer_160@example.com,2022-04-11,Spain,Madrid,Male,45-54,Churn Risk
161,Morgan,Smith,Morgan Smith,customer_161@example.com,2023-08-29,Colombia,Barranquilla,Male,55+,VIP
162,Taylor,Brown,Taylor Brown,customer_162@example.com,2022-04-11,USA,Los Angeles,Female,45-54,VIP
163,Morgan,Miller,Morgan Miller,customer_163@example.com,2023-10-20,Colombia,Cali,Female,35-44,VIP
165,Morgan,Smith,Morgan Smith,customer_165@example.com,2022-01-13,Colombia,Barranquilla,Female,55+,New
166,Chris,Miller,Chris Miller,customer_166@example.com,2023-10-11,Brazil,Brasilia,Male,35-44,Active
167,Jordan,Davis,Jordan Davis,customer_167@example.com,2022-06-22,Colombia,Barranquilla,Male,25-34,New
168,Sam,Martinez,Sam Martinez,customer_168@example.com,2022-11-22,Brazil,Rio de Janeiro,Male,45-54,VIP
170,Jordan,Martinez,Jordan Martinez,customer_170@example.com,2022-08-23,Colombia,Barranquilla,Other,55+,New
171,Pat,Johnson,Pat Johnson,customer_171@example.com,2023-07-19,Colombia,Medellín,Other,55+,Active
172,Pat,Miller,Pat Miller,customer_172@example.com,2023-02-02,Spain,Madrid,Female,35-44,New
173,Pat,Smith,Pat Smith,customer_173@example.com,2022-07-01,USA,Los Angeles,Male,35-44,New
174,Taylor,Johnson,Taylor Johnson,customer_174@example.com,2022-08-18,Brazil,Rio de Janeiro,Male,45-54,Churn Risk
175,Alex,Miller,Alex Miller,customer_175@example.com,2023-08-27,Brazil,Brasilia,Female,45-54,Churn Risk
176,Sam,Davis,Sam Davis,customer_176@example.com,2023-11-05,Spain,Barcelona,Male,55+,New
177,Chris,Davis,Chris Davis,customer_177@example.com,2023-09-30,Colombia,Cali,Other,55+,VIP
178,Taylor,Davis,Taylor Davis,customer_178@example.com,2022-11-03,Spain,Valencia,Male,35-44,VIP
179,Alex,Miller,Alex Miller,customer_179@example.com,2023-04-01,Colombia,Cali,Male,35-44,VIP
180,Alex,Brown,Alex Brown,customer_180@example.com,2023-09-02,USA,New York,Female,45-54,New
181,Taylor,Johnson,Taylor Johnson,customer_181@example.com,2023-05-31,Brazil,Brasilia,Female,18-24,Churn Risk
182,Sam,Davis,Sam Davis,customer_182@example.com,2023-06-24,Spain,Barcelona,Female,18-24,New
183,Taylor,Davis,Taylor Davis,customer_183@example.com,2022-12-28,USA,Miami,Male,25-34,New
184,Jordan,Garcia,Jordan Garcia,customer_184@example.com,2022-09-24,Mexico,Monterrey,Male,55+,VIP
186,Morgan,Martinez,Morgan Martinez,customer_186@example.com,2023-05-06,Brazil,Brasilia,Male,18-24,Churn Risk
187,Jamie,Lopez,Jamie Lopez,customer_187@example.com,2023-12-01,Brazil,Rio de Janeiro,Male,18-24,Active
188,Alex,Johnson,Alex Johnson,customer_188@example.com,2022-01-05,Mexico,Guadalajara,Male,35-44,VIP
189,Pat,Garcia,Pat Garcia,customer_189@example.com,2022-01-15,Colombia,Medellín,Male,25-34,New
190,Pat,Lopez,Pat Lopez,customer_190@example.com,2023-08-21,Spain,Barcelona,Female,25-34,Active
191,Jordan,Davis,Jordan Davis,customer_191@example.com,2022-01-03,Mexico,Guadalajara,Female,55+,VIP
192,Sam,Martinez,Sam Martinez,customer_192@example.com,2022-06-10,Brazil,São Paulo,Male,35-44,New
194,Morgan,Martinez,Morgan Martinez,customer_194@example.com,2023-05-07,Mexico,Monterrey,Female,18-24,VIP
195,Taylor,Miller,Taylor Miller,customer_195@example.com,2023-11-27,Brazil,Brasilia,Other,25-34,Active
196,Sam,Brown,Sam Brown,customer_196@example.com,2023-08-24,Colombia,Barranquilla,Female,35-44,Churn Risk
198,Pat,Martinez,Pat Martinez,customer_198@example.com,2023-09-12,Mexico,Guadalajara,Other,55+,Churn Risk
200,Alex,Garcia,Alex Garcia,customer_200@example.com,2022-09-02,Spain,Barcelona,Female,25-34,Churn Risk
201,Jamie,Lopez,Jamie Lopez,customer_201@example.com,2022-12-18,Spain,Barcelona,Other,18-24,Churn Risk
202,Taylor,Miller,Taylor Miller,customer_202@example.com,2022-04-03,Colombia,Cali,Female,45-54,New
203,Taylor,Brown,Taylor Brown,customer_203@example.com,2023-05-27,Spain,Barcelona,Female,35-44,New
204,Morgan,Miller,Morgan Miller,customer_204@example.com,2023-08-26,Mexico,Guadalajara,Female,55+,Churn Risk
205,Sam,Martinez,Sam Martinez,customer_205@example.com,2023-10-15,Colombia,Bogotá,Male,25-34,VIP
207,Jamie,Davis,Jamie Davis,customer_207@example.com,2023-10-29,Colombia,Medellín,Female,35-44,New
208,Morgan,Smith,Morgan Smith,customer_208@example.com,2023-02-08,Colombia,Bogotá,Male,35-44,Churn Risk
209,Sam,Johnson,Sam Johnson,customer_209@example.com,2023-12-19,Colombia,Cali,Male,25-34,New
210,Taylor,Brown,Taylor Brown,customer_210@example.com,2022-04-01,Brazil,São Paulo,Female,45-54,New
212,Chris,Johnson,Chris Johnson,customer_212@example.com,2023-02-08,Mexico,CDMX,Other,25-34,Churn Risk
213,Alex,Brown,Alex Brown,customer_213@example.com,2022-07-12,USA,New York,Male,25-34,VIP
214,Jordan,Martinez,Jordan Martinez,customer_214@example.com,2023-12-10,Spain,Madrid,Other,35-44,New
215,Sam,Garcia,Sam Garcia,customer_215@example.com,2022-04-19,USA,Miami,Other,25-34,VIP
216,Pat,Martinez,Pat Martinez,customer_216@example.com,2022-03-25,Spain,Madrid,Other,25-34,VIP
217,Jamie,Smith,Jamie Smith,customer_217@example.com,2023-01-03,Spain,Madrid,Other,45-54,Active
218,Taylor,Johnson,Taylor Johnson,customer_218@example.com,2022-09-28,Colombia,Cali,Other,55+,New
220,Jamie,Garcia,Jamie Garcia,customer_220@example.com,2022-02-09,USA,Los Angeles,Other,55+,VIP
222,Jamie,Miller,Jamie Miller,customer_222@example.com,2022-01-04,Mexico,CDMX,Other,25-34,New
223,Jordan,Miller,Jordan Miller,customer_223@example.com,2023-09-20,Colombia,Cali,Other,55+,New
224,Alex,Smith,Alex Smith,customer_224@example.com,2023-05-24,Spain,Barcelona,Male,45-54,Active
225,Chris,Miller,Chris Miller,customer_225@example.com,2023-01-26,Spain,Madrid,Other,55+,New
226,Jamie,Garcia,Jamie Garcia,customer_226@example.com,2022-12-08,Brazil,Brasilia,Other,45-54,VIP
227,Sam,Davis,Sam Davis,customer_227@example.com,2023-02-24,Brazil,Rio de Janeiro,Other,18-24,New
228,Chris,Johnson,Chris Johnson,customer_228@example.com,2023-06-26,Spain,Valencia,Female,55+,New
229,Pat,Smith,Pat Smith,customer_229@example.com,2023-01-17,USA,Los Angeles,Other,45-54,Churn Risk
230,Jordan,Miller,Jordan Miller,customer_230@example.com,2022-09-29,Spain,Barcelona,Other,25-34,Active
231,Morgan,Lopez,Morgan Lopez,customer_231@example.com,2023-06-05,USA,Miami,Male,35-44,VIP
233,Alex,Smith,Alex Smith,customer_233@example.com,2023-07-14,Mexico,Guadalajara,Other,18-24,Churn Risk
234,Pat,Smith,Pat Smith,customer_234@example.com,2022-07-10,Spain,Madrid,Male,35-44,VIP
235,Morgan,Miller,Morgan Miller,customer_235@example.com,2022-07-13,Colombia,Bogotá,Other,35-44,Active
236,Morgan,Johnson,Morgan Johnson,customer_236@example.com,2022-06-16,Colombia,Cali,Male,18-24,New
237,Alex,Brown,Alex Brown,customer_237@example.com,2022-03-14,Mexico,Monterrey,Male,45-54,VIP
239,Alex,Davis,Alex Davis,customer_239@example.com,2023-07-15,Spain,Valencia,Other,55+,Churn Risk
241,Sam,Johnson,Sam Johnson,customer_241@example.com,2022-04-10,Colombia,Bogotá,Female,18-24,Churn Risk
242,Jamie,Lopez,Jamie Lopez,customer_242@example.com,2022-09-27,USA,Los Angeles,Female,55+,Churn Risk
243,Jordan,Garcia,Jordan Garcia,customer_243@example.com,2022-06-17,Brazil,Brasilia,Other,55+,New
244,Jamie,Lopez,Jamie Lopez,customer_244@example.com,2023-06-09,Spain,Valencia,Female,35-44,Churn Risk
245,Sam,Johnson,Sam Johnson,customer_245@example.com,2022-03-30,Brazil,Brasilia,Other,45-54,VIP
246,Sam,Smith,Sam Smith,customer_246@example.com,2023-06-03,Mexico,Guadalajara,Female,35-44,Active
247,Chris,Martinez,Chris Martinez,customer_247@example.com,2023-04-09,USA,Los Angeles,Male,18-24,VIP
249,Jordan,Garcia,Jordan Garcia,customer_249@example.com,2022-05-20,Spain,Valencia,Male,18-24,New
250,Pat,Brown,Pat Brown,customer_250@example.com,2022-04-28,Colombia,Barranquilla,Other,18-24,Active
251,Sam,Lopez,Sam Lopez,customer_251@example.com,2022-07-16,Mexico,CDMX,Other,25-34,Active
252,Jordan,Martinez,Jordan Martinez,customer_252@example.com,2023-11-25,Brazil,São Paulo,Other,35-44,VIP
253,Jamie,Johnson,Jamie Johnson,customer_253@example.com,2023-12-15,Spain,Madrid,Male,18-24,VIP
254,Jordan,Johnson,Jordan Johnson,customer_254@example.com,2022-01-17,Mexico,Guadalajara,Female,25-34,New
256,Alex,Brown,Alex Brown,customer_256@example.com,2022-03-23,Brazil,Rio de Janeiro,Female,45-54,New
257,Alex,Martinez,Alex Martinez,customer_257@example.com,2023-08-06,Colombia,Cali,Other,35-44,Active
258,Sam,Miller,Sam Miller,customer_258@example.com,2023-05-29,Mexico,CDMX,Female,25-34,Churn Risk
259,Morgan,Lopez,Morgan Lopez,customer_259@example.com,2022-01-20,USA,New York,Other,18-24,Active
261,Taylor,Garcia,Taylor Garcia,customer_261@example.com,2023-01-02,Brazil,Brasilia,Female,55+,Active
263,Morgan,Garcia,Morgan Garcia,customer_263@example.com,2022-03-14,USA,Miami,Male,18-24,Churn Risk
264,Taylor,Johnson,Taylor Johnson,customer_264@example.com,2023-02-17,Brazil,Brasilia,Male,35-44,Active
265,Jordan,Davis,Jordan Davis,customer_265@example.com,2022-11-11,Colombia,Medellín,Female,35-44,VIP
266,Jamie,Lopez,Jamie Lopez,customer_266@example.com,2023-09-02,Spain,Valencia,Female,18-24,New
268,Alex,Brown,Alex Brown,customer_268@example.com,2022-03-09,Brazil,São Paulo,Other,18-24,New
269,Alex,Johnson,Alex Johnson,customer_269@example.com,2023-02-24,Brazil,Brasilia,Male,55+,Active
270,Jamie,Lopez,Jamie Lopez,customer_270@example.com,2023-10-19,Mexico,Guadalajara,Female,25-34,Churn Risk
272,Taylor,Garcia,Taylor Garcia,customer_272@example.com,2022-12-07,Mexico,Monterrey,Other,18-24,VIP
273,Sam,Smith,Sam Smith,customer_273@example.com,2022-09-05,Brazil,São Paulo,Male,35-44,New
274,Chris,Martinez,Chris Martinez,customer_274@example.com,2023-05-08,Colombia,Medellín,Other,18-24,New
275,Jamie,Davis,Jamie Davis,customer_275@example.com,2023-01-01,Brazil,Brasilia,Male,35-44,VIP
277,Jordan,Johnson,Jordan Johnson,customer_277@example.com,2022-11-10,Mexico,Monterrey,Male,35-44,VIP
278,Jamie,Davis,Jamie Davis,customer_278@example.com,2023-10-12,Mexico,Guadalajara,Female,35-44,VIP
279,Jordan,Miller,Jordan Miller,customer_279@example.com,2023-11-17,USA,Los Angeles,Other,25-34,Active
280,Jamie,Garcia,Jamie Garcia,customer_280@example.com,2023-11-22,Colombia,Cali,Female,25-34,New
281,Pat,Garcia,Pat Garcia,customer_281@example.com,2022-10-22,Colombia,Bogotá,Male,45-54,VIP
282,Jordan,Smith,Jordan Smith,customer_282@example.com,2023-07-22,Colombia,Medellín,Other,55+,Active
283,Sam,Garcia,Sam Garcia,customer_283@example.com,2022-07-07,Spain,Barcelona,Female,25-34,VIP
284,Taylor,Garcia,Taylor Garcia,customer_284@example.com,2023-07-03,Brazil,Rio de Janeiro,Other,45-54,Active
285,Pat,Miller,Pat Miller,customer_285@example.com,2022-05-19,Mexico,Monterrey,Female,18-24,New
286,Jamie,Davis,Jamie Davis,customer_286@example.com,2023-07-27,Brazil,Rio de Janeiro,Other,45-54,VIP
