lead_id,ad_id,lead_date,lead_source,utm_medium,utm_campaign,email,phone,is_mql,converted_to_customer,became_buyer,order_id,customer_id,funnel_stage
84,424,2023-06-01,Instagram,paid_social,Campaign_4,user_84@example.com,300-4761588,1,0,0,,,MQL
85,264,2023-06-13,Instagram,paid_search,Campaign_50,user_85@example.com,300-8795131,1,0,0,,,MQL
86,514,2023-06-06,Facebook,email,Campaign_54,user_86@example.com,300-6248112,1,0,0,,,MQL
87,357,2023-02-13,Facebook,paid_search,Campaign_4,user_87@example.com,300-4119130,1,1,0,,,Customer (No Purchase Yet)
88,281,2023-04-09,TikTok,paid_social,Campaign_52,user_88@example.com,300-9083657,1,0,0,,,MQL
89,573,2023-03-06,TikTok,email,Campaign_19,user_89@example.com,300-5803140,0,0,0,,,Raw Lead
90,678,2023-01-24,Email,referral,Campaign_10,user_90@example.com,300-4615901,1,1,1,1491,537.0,Customer (Buyer)
91,266,2023-02-11,Instagram,email,Campaign_49,user_91@example.com,300-1667780,1,0,0,,,MQL
92,619,2023-03-05,Google,email,Campaign_47,user_92@example.com,300-4021343,1,0,0,,,MQL
93,150,2023-06-03,Google,paid_search,Campaign_38,user_93@example.com,300-7683330,0,0,0,,,Raw Lead
94,637,2023-02-21,Email,email,Campaign_13,user_94@example.com,300-3757305,0,0,0,,,Raw Lead
95,192,2023-01-01,Facebook,paid_social,Campaign_20,user_95@example.com,300-8903801,1,1,0,,,Customer (No Purchase Yet)
96,514,2023-02-20,Facebook,paid_social,Campaign_34,user_96@example.com,300-7937076,0,0,0,,,Raw Lead
97,104,2023-02-15,Google,referral,Campaign_22,user_97@example.com,300-5892206,0,0,0,,,Raw Lead
98,108,2023-02-26,TikTok,paid_search,Campaign_40,user_98@example.com,300-3133940,0,0,0,,,Raw Lead
99,132,2023-02-08,Instagram,paid_search,Campaign_8,user_99@example.com,300-5716375,1,0,0,,,MQL
100,171,2023-02-17,Email,email,Campaign_57,user_100@example.com,300-4872688,1,0,0,,,MQL
101,393,2023-03-28,Facebook,referral,Campaign_31,user_101@example.com,300-3947361,1,0,0,,,MQL
102,669,2023-05-12,Email,referral,Campaign_54,user_102@example.com,300-1110798,0,0,0,,,Raw Lead
103,407,2023-04-06,Facebook,paid_search,Campaign_26,user_103@example.com,300-2851974,0,0,0,,,Raw Lead
104,179,2023-04-25,Facebook,email,Campaign_20,user_104@example.com,300-1893908,0,0,0,,,Raw Lead
105,322,2023-06-08,Instagram,referral,Campaign_58,user_105@example.com,300-4932677,0,0,0,,,Raw Lead
106,538,2023-05-26,TikTok,referral,Campaign_10,user_106@example.com,300-9530496,1,0,0,,,MQL
107,324,2023-06-09,Email,email,Campaign_23,user_107@example.com,300-6398403,1,0,0,,,MQL
108,553,2023-04-26,Email,paid_social,Campaign_9,user_108@example.com,300-3036587,0,0,0,,,Raw Lead
109,663,2023-03-12,Facebook,referral,Campaign_45,user_109@example.com,300-8664374,1,1,1,1934,781.0,Customer (Buyer)
110,23,2023-01-26,Email,referral,Campaign_16,user_110@example.com,300-2185115,1,0,0,,,MQL
111,679,2023-03-18,Instagram,referral,Campaign_32,user_111@example.com,300-9265070,0,0,0,,,Raw Lead
112,598,2023-01-10,Email,email,Campaign_26,user_112@example.com,300-5402604,1,0,0,,,MQL
113,106,2023-03-06,Google,paid_social,Campaign_27,user_113@example.com,300-3895998,0,0,0,,,Raw Lead
114,601,2023-05-26,Facebook,paid_search,Campaign_29,user_114@example.com,300-5386401,0,0,0,,,Raw Lead
115,133,2023-04-17,Instagram,paid_search,Campaign_2,user_115@example.com,300-6481237,0,0,0,,,Raw Lead
116,448,2023-03-02,TikTok,referral,Campaign_54,user_116@example.com,300-5535041,0,0,0,,,Raw Lead
117,671,2023-01-10,Instagram,email,Campaign_50,user_117@example.com,300-7011925,1,1,1,1579,871.0,Customer (Buyer)
118,409,2023-02-14,Facebook,referral,Campaign_10,user_118@example.com,300-3483311,0,0,0,,,Raw Lead
119,65,2023-01-25,Instagram,referral,Campaign_35,user_119@example.com,300-8874523,1,0,0,,,MQL
120,282,2023-02-23,Google,referral,Campaign_18,user_120@example.com,300-5693014,0,0,0,,,Raw Lead
121,521,2023-02-28,Email,paid_social,Campaign_56,user_121@example.com,300-3346959,1,1,1,327,563.0,Customer (Buyer)
122,348,2023-06-27,Google,paid_social,Campaign_2,user_122@example.com,300-8324841,1,0,0,,,MQL
123,196,2023-04-24,Google,referral,Campaign_20,user_123@example.com,300-7167035,0,0,0,,,Raw Lead
124,170,2023-03-28,Google,email,Campaign_8,user_124@example.com,300-6408358,1,0,0,,,MQL
125,157,2023-03-10,TikTok,email,Campaign_42,user_125@example.com,300-5320707,1,0,0,,,MQL
126,495,2023-05-02,Email,paid_search,Campaign_31,user_126@example.com,300-5512724,1,0,0,,,MQL
127,249,2023-03-05,TikTok,paid_social,Campaign_10,user_127@example.com,300-1456544,0,0,0,,,Raw Lead
128,214,2023-06-10,Email,paid_social,Campaign_18,user_128@example.com,300-7261788,0,0,0,,,Raw Lead
129,450,2023-06-26,Email,email,Campaign_11,user_129@example.com,300-1525532,0,0,0,,,Raw Lead
130,2,2023-06-08,Instagram,paid_social,Campaign_57,user_130@example.com,300-1141564,0,0,0,,,Raw Lead
131,16,2023-03-29,TikTok,paid_search,Campaign_16,user_131@example.com,300-4987038,1,1,1,169,2.0,Customer (Buyer)
132,72,2023-06-21,Instagram,referral,Campaign_49,user_132@example.com,300-5167252,1,0,0,,,MQL
133,312,2023-03-22,Facebook,referral,Campaign_4,user_133@example.com,300-4612245,0,0,0,,,Raw Lead
134,392,2023-01-11,Email,paid_search,Campaign_43,user_134@example.com,300-2160040,1,0,0,,,MQL
135,247,2023-01-20,Email,paid_social,Campaign_56,user_135@example.com,300-7510436,0,0,0,,,Raw Lead
136,34,2023-01-06,TikTok,paid_social,Campaign_28,user_136@example.com,300-5089589,1,0,0,,,MQL
137,262,2023-06-18,TikTok,email,Campaign_50,user_137@example.com,300-4621887,0,0,0,,,Raw Lead
138,150,2023-04-09,Email,referral,Campaign_2,user_138@example.com,300-6131031,0,0,0,,,Raw Lead
139,153,2023-05-20,Instagram,email,Campaign_3,user_139@example.com,300-8307125,0,0,0,,,Raw Lead
140,384,2023-05-17,Google,email,Campaign_19,user_140@example.com,300-5282487,1,0,0,,,MQL
141,155,2023-06-17,Email,paid_social,Campaign_2,user_141@example.com,300-4964202,0,0,0,,,Raw Lead
142,284,2023-03-27,TikTok,paid_search,Campaign_7,user_142@example.com,300-2786975,0,0,0,,,Raw Lead
143,421,2023-04-06,TikTok,referral,Campaign_28,user_143@example.com,300-9143447,1,0,0,,,MQL
144,696,2023-04-03,Email,referral,Campaign_29,user_144@example.com,300-1661264,0,0,0,,,Raw Lead
145,37,2023-01-03,Facebook,email,Campaign_41,user_145@example.com,300-6275056,1,0,0,,,MQL
146,68,2023-02-14,Email,email,Campaign_9,user_146@example.com,300-8502670,1,0,0,,,MQL
147,225,2023-03-13,Instagram,referral,Campaign_54,user_147@example.com,300-8188572,0,0,0,,,Raw Lead
148,382,2023-01-06,TikTok,paid_search,Campaign_36,user_148@example.com,300-7331823,0,0,0,,,Raw Lead
149,134,2023-04-03,Email,referral,Campaign_31,user_149@example.com,300-5534847,1,0,0,,,MQL
150,625,2023-02-06,Google,referral,Campaign_21,user_150@example.com,300-8001306,0,0,0,,,Raw Lead
151,580,2023-01-17,Facebook,paid_social,Campaign_54,user_151@example.com,300-4143542,1,0,0,,,MQL
152,412,2023-03-27,Email,paid_social,Campaign_37,user_152@example.com,300-8862964,0,0,0,,,Raw Lead
153,274,2023-06-29,Google,referral,Campaign_45,user_153@example.com,300-9200531,0,0,0,,,Raw Lead
154,688,2023-01-30,Facebook,paid_search,Campaign_56,user_154@example.com,300-5356765,0,0,0,,,Raw Lead
155,89,2023-06-27,Facebook,paid_social,Campaign_41,user_155@example.com,300-6315174,1,0,0,,,MQL
156,84,2023-02-21,Facebook,paid_social,Campaign_50,user_156@example.com,300-4963680,1,0,0,,,MQL
157,154,2023-03-30,TikTok,referral,Campaign_40,user_157@example.com,300-8121510,0,0,0,,,Raw Lead
158,691,2023-05-06,Facebook,referral,Campaign_16,user_158@example.com,300-3518488,0,0,0,,,Raw Lead
159,586,2023-03-11,TikTok,referral,Campaign_50,user_159@example.com,300-9969291,0,0,0,,,Raw Lead
160,500,2023-06-24,Facebook,paid_search,Campaign_40,user_160@example.com,300-2365076,1,1,0,,,Customer (No Purchase Yet)
161,371,2023-06-21,Google,paid_social,Campaign_17,user_161@example.com,300-9014575,1,0,0,,,MQL
162,258,2023-04-05,TikTok,paid_social,Campaign_46,user_162@example.com,300-6996569,0,0,0,,,Raw Lead
163,472,2023-04-30,Email,email,Campaign_13,user_163@example.com,300-3513471,0,0,0,,,Raw Lead
164,552,2023-05-23,Email,paid_social,Campaign_17,user_164@example.com,300-7305788,0,0,0,,,Raw Lead
165,667,2023-06-05,Google,paid_social,Campaign_54,user_165@example.com,300-3234236,1,1,0,,,Customer (No Purchase Yet)
166,546,2023-05-05,Facebook,email,Campaign_40,user_166@example.com,300-2707240,1,0,0,,,MQL
167,278,2023-05-01,Google,paid_search,Campaign_1,user_167@example.com,300-1668697,1,0,0,,,MQL
168,684,2023-05-17,Facebook,paid_search,Campaign_15,user_168@example.com,300-3689929,0,0,0,,,Raw Lead
169,158,2023-02-27,TikTok,email,Campaign_10,user_169@example.com,300-2327474,1,0,0,,,MQL
170,21,2023-04-18,TikTok,paid_social,Campaign_12,user_170@example.com,300-4704331,1,0,0,,,MQL
171,149,2023-03-02,Google,referral,Campaign_1,user_171@example.com,300-3358883,1,1,0,,,Customer (No Purchase Yet)
172,30,2023-02-25,Instagram,paid_search,Campaign_16,user_172@example.com,300-7883051,0,0,0,,,Raw Lead
173,493,2023-04-16,Google,email,Campaign_19,user_173@example.com,300-1938693,0,0,0,,,Raw Lead
174,56,2023-06-01,TikTok,paid_search,Campaign_3,user_174@example.com,300-5337132,0,0,0,,,Raw Lead
175,17,2023-02-25,Instagram,paid_social,Campaign_32,user_175@example.com,300-2281086,1,0,0,,,MQL
176,332,2023-03-03,Email,email,Campaign_6,user_176@example.com,300-3698041,1,0,0,,,MQL
177,445,2023-01-12,Facebook,paid_social,Campaign_30,user_177@example.com,300-4215216,0,0,0,,,Raw Lead
178,246,2023-05-22,Instagram,email,Campaign_4,user_178@example.com,300-7222289,1,0,0,,,MQL
179,255,2023-03-25,Google,referral,Campaign_13,user_179@example.com,300-4241910,0,0,0,,,Raw Lead
180,61,2023-05-26,Google,paid_search,Campaign_48,user_180@example.com,300-7881450,1,0,0,,,MQL
181,393,2023-06-15,Instagram,email,Campaign_28,user_181@example.com,300-1398960,1,0,0,,,MQL
182,581,2023-03-31,TikTok,paid_search,Campaign_31,user_182@example.com,300-9040013,1,0,0,,,MQL
183,28,2023-05-29,TikTok,email,Campaign_51,user_183@example.com,300-4471841,0,0,0,,,Raw Lead
184,84,2023-02-02,TikTok,referral,Campaign_56,user_184@example.com,300-2818578,1,0,0,,,MQL
185,245,2023-06-09,Facebook,paid_search,Campaign_34,user_185@example.com,300-1584921,1,0,0,,,MQL
186,676,2023-04-29,TikTok,paid_search,Campaign_31,user_186@example.com,300-1350772,0,0,0,,,Raw Lead
187,163,2023-04-28,Facebook,email,Campaign_26,user_187@example.com,300-6933093,1,1,1,871,253.0,Customer (Buyer)
188,115,2023-06-12,Facebook,email,Campaign_4,user_188@example.com,300-3244791,1,1,0,,,Customer (No Purchase Yet)
189,386,2023-03-08,TikTok,paid_search,Campaign_12,user_189@example.com,300-8885103,1,0,0,,,MQL
190,399,2023-04-20,Google,referral,Campaign_60,user_190@example.com,300-9841440,0,0,0,,,Raw Lead
191,13,2023-04-26,Instagram,email,Campaign_16,user_191@example.com,300-3651055,1,1,0,,,Customer (No Purchase Yet)
192,90,2023-05-23,TikTok,email,Campaign_49,user_192@example.com,300-8040048,1,0,0,,,MQL
193,200,2023-05-08,Google,paid_search,Campaign_24,user_193@example.com,300-3960081,0,0,0,,,Raw Lead
194,289,2023-01-14,Instagram,referral,Campaign_28,user_194@example.com,300-4380142,1,0,0,,,MQL
195,234,2023-02-20,Facebook,email,Campaign_4,user_195@example.com,300-2171226,1,0,0,,,MQL
196,160,2023-01-30,TikTok,email,Campaign_25,user_196@example.com,300-8356388,0,0,0,,,Raw Lead
197,611,2023-03-08,Email,paid_search,Campaign_35,user_197@example.com,300-2500781,1,0,0,,,MQL
198,368,2023-06-20,Instagram,paid_social,Campaign_34,user_198@example.com,300-2404848,1,1,1,1295,513.0,Customer (Buyer)
199,70,2023-06-24,Email,paid_search,Campaign_28,user_199@example.com,300-5738250,1,0,0,,,MQL
200,483,2023-02-07,TikTok,paid_social,Campaign_12,user_200@example.com,300-4905680,0,0,0,,,Raw Lead
201,699,2023-02-09,Facebook,referral,Campaign_4,user_201@example.com,300-5642007,1,0,0,,,MQL
202,635,2023-03-16,Email,referral,Campaign_44,user_202@example.com,300-6806909,1,0,0,,,MQL
203,293,2023-03-19,Email,referral,Campaign_46,user_203@example.com,300-5695848,1,1,1,1766,676.0,Customer (Buyer)
204,176,2023-01-21,Facebook,paid_search,Campaign_55,user_204@example.com,300-2608146,1,0,0,,,MQL
205,237,2023-05-02,Instagram,referral,Campaign_27,user_205@example.com,300-9875281,1,0,0,,,MQL
206,616,2023-02-24,Facebook,email,Campaign_12,user_206@example.com,300-9497414,1,1,1,1033,971.0,Customer (Buyer)
207,426,2023-05-15,Instagram,paid_social,Campaign_3,user_207@example.com,300-5239035,1,1,1,43,930.0,Customer (Buyer)
208,573,2023-04-06,Email,paid_social,Campaign_21,user_208@example.com,300-4118936,1,0,0,,,MQL
209,419,2023-04-19,Email,email,Campaign_22,user_209@example.com,300-6053243,0,0,0,,,Raw Lead
210,271,2023-03-13,Google,paid_social,Campaign_32,user_210@example.com,300-8388784,0,0,0,,,Raw Lead
211,436,2023-01-10,Facebook,paid_search,Campaign_8,user_211@example.com,300-1892598,0,0,0,,,Raw Lead
212,113,2023-01-28,Facebook,email,Campaign_51,user_212@example.com,300-9354035,0,0,0,,,Raw Lead
213,352,2023-01-26,Instagram,paid_search,Campaign_20,user_213@example.com,300-1229569,1,1,1,455,54.0,Customer (Buyer)
214,397,2023-03-26,TikTok,paid_search,Campaign_26,user_214@example.com,300-7090811,0,0,0,,,Raw Lead
215,436,2023-03-25,Email,email,Campaign_19,user_215@example.com,300-8904334,1,0,0,,,MQL
216,621,2023-05-22,Google,paid_social,Campaign_14,user_216@example.com,300-6641663,1,0,0,,,MQL
217,607,2023-04-23,Instagram,paid_search,Campaign_32,user_217@example.com,300-4394501,1,0,0,,,MQL
218,266,2023-02-24,Facebook,paid_search,Campaign_26,user_218@example.com,300-7932578,1,0,0,,,MQL
219,121,2023-02-06,Instagram,email,Campaign_17,user_219@example.com,300-9524358,0,0,0,,,Raw Lead
220,693,2023-04-10,TikTok,paid_search,Campaign_14,user_220@example.com,300-9519819,0,0,0,,,Raw Lead
221,452,2023-06-21,Facebook,paid_search,Campaign_38,user_221@example.com,300-1043094,1,0,0,,,MQL
222,116,2023-04-14,Email,paid_social,Campaign_52,user_222@example.com,300-6544959,0,0,0,,,Raw Lead
223,209,2023-04-07,Facebook,email,Campaign_1,user_223@example.com,300-1599575,1,1,1,251,881.0,Customer (Buyer)
224,251,2023-04-10,Facebook,paid_social,Campaign_47,user_224@example.com,300-1788570,0,0,0,,,Raw Lead
225,406,2023-05-13,Email,email,Campaign_55,user_225@example.com,300-3333942,1,0,0,,,MQL
226,571,2023-05-01,Google,paid_social,Campaign_37,user_226@example.com,300-9677688,0,0,0,,,Raw Lead
227,635,2023-04-02,Email,referral,Campaign_55,user_227@example.com,300-2668872,0,0,0,,,Raw Lead
228,529,2023-03-13,Google,email,Campaign_9,user_228@example.com,300-2683621,1,0,0,,,MQL
229,38,2023-01-29,Facebook,paid_social,Campaign_2,user_229@example.com,300-5457240,0,0,0,,,Raw Lead
230,191,2023-04-06,Facebook,paid_search,Campaign_44,user_230@example.com,300-2301359,0,0,0,,,Raw Lead
231,563,2023-03-29,Instagram,email,Campaign_54,user_231@example.com,300-3898881,0,0,0,,,Raw Lead
232,144,2023-06-04,Instagram,email,Campaign_51,user_232@example.com,300-1320253,1,1,0,,,Customer (No Purchase Yet)
233,198,2023-02-25,TikTok,email,Campaign_48,user_233@example.com,300-1637955,0,0,0,,,Raw Lead
234,353,2023-04-26,Instagram,email,Campaign_10,user_234@example.com,300-1365972,1,0,0,,,MQL
235,651,2023-06-09,Google,paid_search,Campaign_19,user_235@example.com,300-6894082,1,1,1,1163,595.0,Customer (Buyer)
236,305,2023-02-15,Instagram,paid_search,Campaign_4,user_236@example.com,300-9524412,0,0,0,,,Raw Lead
237,469,2023-01-22,Google,paid_search,Campaign_53,user_237@example.com,300-3227708,0,0,0,,,Raw Lead
238,484,2023-01-02,Facebook,paid_social,Campaign_46,user_238@example.com,300-1585623,1,0,0,,,MQL
239,343,2023-04-08,Google,paid_social,Campaign_19,user_239@example.com,300-1383334,0,0,0,,,Raw Lead
240,604,2023-01-25,Google,email,Campaign_6,user_240@example.com,300-7502465,0,0,0,,,Raw Lead
241,252,2023-04-11,Email,referral,Campaign_34,user_241@example.com,300-5795943,1,0,0,,,MQL
242,626,2023-03-26,Facebook,paid_search,Campaign_41,user_242@example.com,300-4148771,1,0,0,,,MQL
243,190,2023-02-15,TikTok,referral,Campaign_45,user_243@example.com,300-7739623,1,1,0,,,Customer (No Purchase Yet)
244,553,2023-05-07,Facebook,paid_social,Campaign_60,user_244@example.com,300-1017714,0,0,0,,,Raw Lead
245,330,2023-05-24,Instagram,paid_search,Campaign_55,user_245@example.com,300-6705616,1,0,0,,,MQL
246,565,2023-04-18,TikTok,referral,Campaign_3,user_246@example.com,300-8008361,0,0,0,,,Raw Lead
247,329,2023-06-20,Instagram,referral,Campaign_10,user_247@example.com,300-1496089,0,0,0,,,Raw Lead
248,322,2023-06-10,Google,paid_search,Campaign_30,user_248@example.com,300-8294528,0,0,0,,,Raw Lead
249,650,2023-05-09,Facebook,email,Campaign_8,user_249@example.com,300-4492913,0,0,0,,,Raw Lead
250,47,2023-01-26,Instagram,referral,Campaign_33,user_250@example.com,300-3396316,1,0,0,,,MQL
251,653,2023-01-31,Google,paid_search,Campaign_47,user_251@example.com,300-4053896,1,0,0,,,MQL
252,98,2023-05-18,TikTok,email,Campaign_10,user_252@example.com,300-2848478,1,0,0,,,MQL
253,366,2023-02-07,Email,email,Campaign_46,user_253@example.com,300-2821994,1,1,1,1479,969.0,Customer (Buyer)
